F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_line,reason,scoring_strategy,status,subject,top1_budget,top1_folded_hit,top1_sfl_hit,top2_budget,top2_folded_hit,top2_sfl_hit,top3_budget,top3_folded_hit,top3_sfl_hit
16,54,statement,data-flow,TailRotateSortFive_M5,SUR,17,,density_log,evaluated,TailRotateSortFive,5,FALSE,FALSE,9,FALSE,TRUE,13,TRUE,TRUE
24,64,statement,data-flow,TailRotateSortFive_M6,SUR,25,,density_log,evaluated,TailRotateSortFive,4,FALSE,FALSE,8,FALSE,FALSE,12,FALSE,FALSE
28,8,condition,control-flow,MedianWindowFive_M1,ROR,3,,density_log,evaluated,MedianWindowFive,2,TRUE,TRUE,6,TRUE,TRUE,10,TRUE,TRUE
44,22,condition,control-flow,MedianWindowFive_M2,ROR,18,,density_log,evaluated,MedianWindowFive,5,FALSE,FALSE,9,FALSE,FALSE,13,FALSE,TRUE
0,88,condition,control-flow,MedianWindowFive_M3,BOR,33,no_tbfv_failures,density_log,not_detected,MedianWindowFive,,,,,,,,,
22,62,statement,data-flow,MedianWindowFive_M4,SUR,15,,density_log,evaluated,MedianWindowFive,4,TRUE,TRUE,8,TRUE,TRUE,10,TRUE,TRUE
32,24,statement,data-flow,MedianWindowFive_M5,SUR,30,,density_log,evaluated,MedianWindowFive,4,TRUE,TRUE,6,TRUE,TRUE,10,TRUE,TRUE
76,8,statement,data-flow,MedianWindowFive_M6,RVR,38,,density_log,evaluated,MedianWindowFive,4,FALSE,FALSE,8,FALSE,TRUE,10,TRUE,TRUE
1,89,condition,control-flow,TwoBucketLoop_M1,BOR,3,,density_log,evaluated,TwoBucketLoop,2,TRUE,TRUE,2,TRUE,TRUE,2,TRUE,TRUE
1,85,condition,control-flow,TwoBucketLoop_M2,BOR,6,,density_log,evaluated,TwoBucketLoop,2,TRUE,TRUE,2,TRUE,TRUE,3,TRUE,TRUE
40,51,condition,control-flow,TwoBucketLoop_M3,BOR,13,,density_log,evaluated,TwoBucketLoop,3,TRUE,TRUE,5,TRUE,TRUE,6,TRUE,TRUE
47,51,statement,data-flow,TwoBucketLoop_M4,AOR,14,,density_log,evaluated,TwoBucketLoop,3,TRUE,TRUE,4,TRUE,TRUE,7,TRUE,TRUE
41,51,statement,data-flow,TwoBucketLoop_M5,AOR,22,,density_log,evaluated,TwoBucketLoop,2,TRUE,TRUE,4,TRUE,TRUE,7,TRUE,TRUE
82,9,statement,data-flow,TwoBucketLoop_M6,RVR,27,,density_log,evaluated,TwoBucketLoop,2,TRUE,TRUE,5,TRUE,TRUE,8,TRUE,TRUE
